,city_name,state_code,country_code,uv,temp,ozone,wind_spd,pres,wind_dir
0,Four Oaks,NC,US,6.6,89.8,310.3,5.4,1005.0,240
1,Four Oaks,NC,US,8.5,94.9,310.5,6.3,1004.5,220
2,Four Oaks,NC,US,2.9,93.2,311.3,6.3,1003.5,200
3,Four Oaks,NC,US,0.6,83.6,307.3,3.6,1003.5,280
4,Four Oaks,NC,US,0.0,78.3,306.8,2.7,1006.0,200
5,Four Oaks,NC,US,0.0,77.2,306.3,2.7,1006.0,220
6,Four Oaks,NC,US,0.0,76.0,306.5,2.7,1007.0,230
7,Four Oaks,NC,US,1.2,78.7,306.0,2.7,1008.5,200
8,Four Oaks,NC,US,3.7,83.9,304.0,3.6,1008.5,210
9,Four Oaks,NC,US,7.1,87.7,303.3,4.5,1007.5,190
10,Four Oaks,NC,US,2.5,87.7,300.0,4.5,1007.0,230
11,Four Oaks,NC,US,0.7,83.7,298.8,1.8,1008.5,240
12,Four Oaks,NC,US,0.0,78.1,297.8,1.8,1010.0,180
13,Four Oaks,NC,US,0.0,76.0,298.0,1.8,1008.5,200
14,Four Oaks,NC,US,0.0,75.3,294.8,0.9,1009.0,190
15,Four Oaks,NC,US,1.1,78.2,295.8,1.8,1009.5,190
16,Four Oaks,NC,US,4.2,84.7,296.0,3.6,1010.0,200
17,Four Oaks,NC,US,5.9,88.3,293.3,4.5,1009.0,190
18,Four Oaks,NC,US,2.8,89.1,292.8,4.5,1008.0,180
19,Four Oaks,NC,US,0.9,85.2,291.0,1.8,1008.5,170
20,Four Oaks,NC,US,0.0,79.4,290.3,1.8,1009.5,180
21,Four Oaks,NC,US,0.0,77.0,288.0,1.8,1008.5,190
22,Four Oaks,NC,US,0.0,75.8,287.5,1.8,1008.0,180
23,Four Oaks,NC,US,1.3,78.7,288.5,1.8,1008.5,180
24,Four Oaks,NC,US,5.4,86.7,286.3,3.6,1008.5,180
25,Four Oaks,NC,US,6.2,89.9,286.0,5.4,1006.5,180
26,Four Oaks,NC,US,2.8,89.6,287.3,5.8,1005.0,180
27,Four Oaks,NC,US,1.0,86.1,286.3,3.6,1006.0,180
28,Four Oaks,NC,US,0.0,81.9,285.0,3.1,1007.0,185
29,Four Oaks,NC,US,0.0,77.7,284.5,2.7,1006.5,190
30,Four Oaks,NC,US,0.0,78.2,287.0,3.1,1006.5,195
31,Four Oaks,NC,US,1.3,78.8,290.8,3.6,1007.5,200
32,Four Oaks,NC,US,5.1,83.7,289.8,5.0,1008.0,195
33,Four Oaks,NC,US,7.5,88.6,288.3,6.5,1007.0,180
34,Four Oaks,NC,US,3.1,86.3,289.5,5.1,1005.5,180
35,Four Oaks,NC,US,1.0,84.0,289.8,3.8,1007.0,180
36,Four Oaks,NC,US,0.0,80.3,288.0,3.2,1008.5,180
37,Four Oaks,NC,US,0.0,76.7,289.3,2.7,1009.0,180
38,Four Oaks,NC,US,0.0,77.2,290.8,3.1,1009.0,180
39,Four Oaks,NC,US,1.2,77.7,293.5,3.6,1010.5,180
