,Name,Rating,Reviews,Salary,Interviews,Jobs,Benefits
0,Presidency University,3.1,131,706,9,--,15
1,Volante Technologies,3.3,129,1.3k,14,--,20
2,Sahyadri Industries,3.8,128,722,9,--,10
3,L&T Power Transmission & Distribution,4.4,127,138,1,--,93
4,Ind Innovations,3.5,127,686,7,--,12
5,Edwise International,3.7,127,425,6,130,5
6,Bsr Infratech India,3.7,126,743,10,--,16
7,Appcino Technologies,3.9,126,504,15,--,6
8,Illusion Dental Laboratory,3.6,126,481,13,--,6
9,Geeklurn,3.7,125,134,5,--,4
10,ValueFirst Digital Media,3.8,125,1k,10,1,22
11,Dish Infra Services,3.7,124,510,5,--,9
12,OneClick IT Consultancy,4.7,124,157,1,--,78
13,Mehta Cad Cam Systems,3.8,124,723,8,--,10
14,Amnet Systems,3.7,123,778,6,1,11
15,IndianOil Skytanking,3.0,123,582,8,--,19
16,Aster Cmi Hospital,4.0,122,536,6,--,19
17,IonIdea Interactive,3.6,122,846,11,8,9
18,Holostik,3.9,122,694,8,14,23
19,Maharashtra State Road Transport Corporation,4.3,121,373,2,--,19
20,Suhail Bahwan Automobiles,4.3,121,316,2,--,22
21,Innovision,3.1,121,561,10,5,12
22,Translumina Therapeutics,4.2,121,415,8,1,56
23,J Pan Tubular Components,4.0,121,526,7,6,12
24,Steril Gene Life Sciences,3.9,120,794,7,--,15
25,ONKAR DIES,4.1,120,673,6,1,17
26,Montage Enterprises,3.8,117,553,5,--,14
27,Vsun Mobile,3.9,114,302,2,--,26
28,Swiss Garnier Life Sciences,3.6,114,670,11,2,19
29,Infinity Learn,3.6,196,1.1k,26,10,10
30,Taggd,3.8,142,381,10,61,4
31,CivilMantra Infracon Private Limited,4.7,141,122,4,--,23
32,Extentia Information Technology,3.6,137,1.4k,13,35,14
33,AGILE AIRPORT SERVICES,4.1,136,370,6,--,11
34,Zinnov Management Consulting,3.2,135,1.2k,15,25,13
35,Aditi Consulting,3.8,135,746,9,43,15
36,DesignCafe,3.4,134,1k,6,44,11
37,Zopper,3.1,132,810,11,2,17
38,Milky Mist Dairy Food,3.5,132,832,10,--,9
39,ContinuServe Softech India,3.4,131,936,9,--,7
40,Overseas Health Care,2.9,128,379,9,--,13
41,S&IB Services,3.8,128,599,5,--,15
42,Nippo Batteries,4.2,127,555,8,--,16
43,John Crane Sealing Systems India,3.9,127,873,16,12,18
44,Paranjape Schemes Construction,4.0,127,779,10,3,19
45,Lulu Hypermarket,4.0,127,477,13,5,16
46,Camp K-12,3.1,126,656,8,--,8
47,AGIO Pharmaceuticals,2.4,126,723,7,26,6
48,XSEED Education,3.0,126,636,5,4,18
49,Prudent Corporate Advisory Services,4.1,125,526,4,3,10
50,Sellcraft Global Solutions,4.0,125,1.1k,6,--,7
51,Intense Technologies,4.1,124,1.2k,8,--,18
52,ACI Worldwide,4.2,124,1.3k,11,17,21
53,Savita Oil Technologies,4.2,124,836,5,3,13
54,SGB,4.1,123,483,6,--,23
55,Jayem Automotives,3.7,123,677,4,4,14
56,Oasis Resource Management,4.4,122,190,5,--,15
57,Mahindra Two Wheelers,4.0,122,1.1k,5,--,45
58,The Chennai Silks,3.7,122,820,2,--,12
59,GGK Technologies,3.6,121,1.5k,3,--,31
60,Open Financial Technologies Private Limited,3.5,143,834,21,17,4
61,Colorbar Cosmetics,4.4,138,449,8,--,17
62,Vserve Ebusiness Solutions,4.2,137,533,2,13,3
63,Zeno Health,3.9,137,592,12,11,6
64,Affine,3.3,136,1.2k,31,11,15
65,BUDDI.AI,3.9,136,455,14,--,31
66,Airproducts,3.9,136,1.2k,12,--,10
67,Jai Kisan,3.7,135,450,8,1,9
68,FreshersNow,4.1,134,185,30,--,3
69,Naga,3.8,133,1k,9,--,11
70,Bewakoof,3.8,133,838,9,17,23
71,Network Intelligence India,3.5,132,1.3k,15,8,15
72,East African (I) Overseas Dehradun,3.5,132,635,8,--,15
73,Videocon Industries Ltd.,4.1,132,981,9,1,20
74,Concentric,3.9,131,791,31,--,19
75,Lynk,3.3,131,999,11,25,8
76,Ebullient Securities,3.5,130,384,11,--,14
77,Satyesh Brinechem,3.0,130,783,21,15,16
78,Wonderchef Home Appliances,3.7,129,657,10,--,12
79,NIMS University,3.0,128,626,8,--,11
80,Ashish Life Science,4.1,124,454,9,--,55
81,KerryIndev Logistics,3.7,123,996,2,--,8
82,Sarda Energy & Minerals,4.2,123,607,7,1,12
83,Inteva Products,3.8,123,1k,11,--,21
84,Flemingo Duty Free Shop,4.2,121,590,2,2,13
85,Sri Ramachandra Institute of Higher Education and Research,4.1,121,706,6,--,7
86,Jyote Motors,3.7,120,523,5,--,7
87,Lauren Information Technologies,3.9,119,1.1k,5,3,11
88,Ankur Seeds,4.2,119,381,3,--,16
89,ING Vysya Bank,4.4,118,375,5,--,14
90,ACN Health care,3.8,118,763,3,13,12
91,Sunbeam School,4.2,117,376,8,1,18
92,Makino Auto Industries,4.2,116,567,7,1,19
93,Jasper Industries,4.3,115,506,5,--,13
94,Prothious Engineering Services,3.5,114,410,4,2,21
95,Oxigen Services,3.5,113,483,3,--,20
96,Aagna Global Solutions,3.5,110,418,3,--,10
97,Bajaj Finserv Health,3.4,151,991,14,6,14
98,Egniol Services Private Limited,4.0,148,226,10,--,1
99,Ultra Corpotech,4.1,148,1.1k,9,1,9
100,Interglobe Air Transport,3.4,131,829,5,--,16
101,Birla Cellulose,3.9,130,671,8,--,14
102,Tripjack,4.7,130,256,5,12,2
103,Tresor Systems,4.1,130,580,9,--,15
104,Hospital Chemist,4.2,129,1.2k,7,--,8
105,Adani Transmission,3.8,129,815,7,--,16
106,Tech Mahindra Foundation,4.0,129,497,24,14,31
107,Jamboree Education,3.8,128,668,6,--,15
108,Corrtech International,3.8,128,628,2,--,7
109,Wicked Ride Adventures,4.1,128,825,1,--,11
110,NIMT,4.3,128,117,7,27,18
111,Tata Main Hospital,3.6,127,452,14,--,23
112,Centelon,4.4,127,396,6,8,73
113,Etihad Airways,4.1,127,497,7,--,23
114,CMR Engineering College,4.3,125,166,2,--,72
115,Jehangir Hospital,4.1,125,579,7,8,16
116,Ayesa,4.0,124,570,9,3,19
117,Bry-Air (Asia),3.8,124,695,6,1,16
118,ValGenesis,3.5,124,795,11,40,19
119,Marque Impex,4.0,124,605,7,--,14
120,Tata Ficosa Automotive Systems,4.0,121,692,4,--,20
121,Redington Gulf,3.7,121,848,9,9,16
122,MeritTrac,4.0,119,611,1,--,15
123,Aksh Optifibre,3.6,119,550,4,--,16
124,Peerless Hospital,3.8,118,439,1,--,4
125,ABC Bearings,4.1,117,1.8k,16,--,20
126,Accentuate Technology,4.2,147,857,65,--,31
127,Turito,3.3,147,707,22,--,12
128,Facebook,4.3,140,1.5k,61,--,22
129,Infocus Technologies,3.8,139,551,7,--,5
130,Agiliad Technologies,3.9,137,1.2k,22,30,10
131,Thejo Engineering,3.7,135,752,13,5,17
132,SAS,4.3,133,1.6k,14,41,21
133,State Street Bank,3.7,133,1.8k,12,--,11
134,Polaris,3.7,132,1.1k,19,--,13
135,MyGlamm,3.4,132,752,9,7,15
136,FAIRWAY ENTERPRISES,3.9,132,732,8,--,14
137,ION Group,3.6,132,1.3k,49,46,7
138,Birla Shakti Cement,4.2,131,417,9,--,5
139,Interglobe Air Transport,3.4,131,829,5,--,16
140,RLabs Enterprise Services,3.8,135,1.3k,14,22,15
141,Shyam Steel Manufacturing,3.4,135,681,10,--,4
142,Air India Engineering Services,3.9,131,445,5,--,16
143,Automation Anywhere,3.8,131,1.7k,13,10,20
144,Sri Chaitanya Schools,3.9,130,848,14,--,71
145,NDS InfoServ,4.2,130,335,8,--,11
146,Teerthanker Mahaveer University,3.6,129,518,5,--,9
147,Unify Technologies,3.2,129,1.1k,17,19,19
148,Mohani Tea Leaves,4.0,128,539,4,--,22
149,Six Sigma Soft Solutions,3.4,128,1.2k,15,--,6
150,FCS Software Solutions,3.4,127,799,7,26,12
151,Hartex Rubber,3.5,127,580,8,1,7
152,Denso Ten Minda India,4.2,127,701,9,--,12
153,Mahindra Sanyo Special Steel,3.9,125,684,8,--,15
154,SIAC SKH India Cabs Manufacturing,3.9,124,653,17,--,18
155,Shipping Corporation of India,3.9,122,580,4,--,15
156,YFC PROJECTS,3.6,121,600,7,--,7
157,Prestige Estates Projects,4.4,121,718,4,--,13
158,Tata Ficosa Automotive Systems,4.0,121,692,4,--,20
159,Bimal Auto Agency,3.6,121,583,3,--,13
160,Reliance Group,4.3,124,732,19,--,7
161,Sangam India,3.7,124,761,12,--,14
162,Inspiredge IT Solutions,4.2,124,927,7,2,24
163,SequelOne,3.7,124,766,10,3,8
164,Orange City Water,4.0,124,431,6,--,8
165,SHARON BIO MEDICINE,4.2,124,609,3,1,12
166,InnoEye Technologies,3.5,123,817,5,--,12
167,Cadeploy Engineering,2.9,123,757,10,4,13
168,Clarks Inn Group of Hotels,3.5,122,445,5,--,21
169,Divgi Torqtransfer Systems,3.5,122,689,9,--,14
170,Sagar Hospital,4.1,121,579,4,4,15
171,BG Distributors,3.9,117,374,3,1,12
172,Ksk Energy Ventures,4.5,116,450,4,1,18
173,Trident Automobiles,4.7,113,509,--,3,18
174,Coastal Projects,3.8,112,353,5,--,23
175,Welspun Transformation Services Limited,4.1,157,358,5,4,9
176,Daimler Truck,3.9,157,1.4k,24,--,15
177,Unthinkable Solutions,3.1,145,1.1k,27,2,15
178,Medgenome Labs,3.5,138,805,13,2,15
179,Tecnotree Convergence,3.1,136,1.4k,8,1,24
180,Kwality Pharmaceuticals,3.9,135,663,13,1,10
181,Pin Click,2.6,135,484,11,12,20
182,Durian Industries,3.9,134,740,13,10,10
183,Fangs Technology,4.0,134,614,6,--,20
184,Ajax Engineering,3.9,134,937,3,--,12
185,Satvat Infosol,3.3,133,773,7,3,22
186,Sundaram Home Finance,4.3,133,574,8,2,12
187,Shakambhari Ispat & Power,3.8,133,799,14,2,9
188,Marathon Electric India,3.7,133,827,8,2,20
189,Modern Business Solutions,3.9,132,483,7,--,10
190,Milan Laboratories India Private Limited,4.1,132,810,8,5,16
191,Punjab & Sind Bank,3.4,132,426,5,--,15
192,Vectone Mobile,2.7,130,597,8,--,46
193,Embitel Technologies,4.2,130,1.5k,16,20,10
194,Shri Mahavir ferro Alloys,3.6,130,555,13,--,6
195,Qube Cinema Technologies,3.9,130,756,3,3,20
196,Axa Parenterals,3.8,130,634,11,5,17
197,Layam Flexi Solutions,3.5,129,582,4,--,16
198,Pramata Knowledge Solutions,2.9,128,826,18,1,21
199,Chowgule Industries,3.8,126,608,5,--,15
200,Narayana Medical College & Hospital,3.8,123,474,5,--,13
201,HealthSpring,3.1,123,494,6,--,17
202,Orchid Hotel,4.2,123,630,6,2,20
203,Godrej Tyson Food,4.3,119,605,7,--,14
204,CL Educate,3.9,119,669,1,17,21
205,DQ Entertainment,3.7,116,419,1,--,13
206,Ajnara India,3.5,114,536,1,--,11
207,Logicash,3.2,110,409,1,--,13
208,NexTurn,4.4,166,125,20,62,6
209,AML RightSource,3.0,152,1k,21,26,24
210,Black Box Corporation,3.2,143,1.2k,16,44,11
211,BlazeClan Technologies,3.8,142,1.6k,17,11,17
212,DMI,4.0,139,1.2k,18,3,8
213,Inchcape Shipping Services,3.5,139,887,16,111,16
214,SkillCircle,4.7,139,132,3,4,2
215,Caliber Technologies,3.7,137,1.3k,8,1,14
216,Osam Dairy,4.0,136,416,7,2,1
217,Nitor Infotech,3.9,135,1.5k,16,14,14
218,The Cosmos Co-operative Bank,3.6,135,832,5,--,15
219,Collman Services,4.0,135,565,6,--,8
220,RGBSI,3.7,141,1.1k,14,--,19
221,SITA,4.0,139,1k,14,7,25
222,OSB India,3.5,138,837,7,13,17
223,ASSA ABLOY,3.6,137,752,11,3,13
224,STANPLUS TECHNOLOGIES,3.3,137,495,14,5,11
225,Upstox,3.7,136,1.2k,25,71,13
226,Frontizo Business Services,3.0,136,558,14,9,8
227,Astegic,4.0,133,505,10,--,8
228,DB Engineering & Consulting,4.4,133,671,4,2,14
229,DTC Projects,3.8,133,481,11,7,34
230,Eduvanz,3.6,133,731,8,8,11
231,Teleminds Infotech,2.8,131,608,10,--,20
232,90+ My Tuition App,4.1,131,302,6,9,11
233,Pacific India,3.7,130,998,16,6,21
234,EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.9,129,859,4,2,10
235,Donear Industries,3.5,126,756,4,--,7
236,Fulcrum Worldwide Software,4.2,126,1.1k,8,5,19
237,Optiemus Electronics,3.9,124,606,6,1,15
238,SPX Flow Technology,4.4,124,880,8,--,16
239,Ramee Group of Hotels,3.5,124,565,4,4,17
240,TI METAL FORMING,3.9,126,644,7,--,11
241,Maya Academy of Advanced Cinematics,3.5,126,513,15,--,7
242,Kesari Tours,3.9,126,821,6,4,21
243,Norwegian Cruise Line,4.1,125,197,5,--,14
244,Desai Construction,4.4,125,527,5,--,24
245,The Oriental Insurance Co.,4.5,125,368,2,--,17
246,Amanta Healthcare,4.3,125,634,7,5,26
247,NTC Logistics India,4.1,125,826,12,--,16
248,TPF Engineering,3.7,124,541,12,--,18
249,DelEx Cargo,4.3,123,414,5,--,22
250,Inditex,3.9,123,488,5,9,30
251,Hospet Steels,3.8,122,735,13,--,21
252,Pyrotech Electronics,3.3,121,729,10,3,10
253,Amity International School,4.3,120,626,7,--,13
254,John Energy,4.2,120,622,7,--,16
255,Carnival Group,3.9,116,314,--,3,19
256,Syscom Corporation,4.1,112,474,4,7,25
257,WorkIndia,3.0,147,1k,24,--,13
258,Square Bpo Services,3.5,143,573,11,--,7
259,Paynearby Technologies,3.9,141,664,11,--,4
260,Puthur Infotech,3.7,133,666,4,--,4
261,Bullmen Realty,2.9,133,686,14,19,3
262,Premier Indoplast,3.8,133,507,--,--,4
263,Enpro Industries,4.1,132,784,7,1,8
264,Collage,4.2,131,590,8,--,9
265,Qdigi Services,3.9,131,502,8,--,14
266,KPC Projects,4.1,130,652,13,3,16
267,Anri Solutions HR Services,2.9,130,666,10,10,4
268,Mvs Acmei Technologies,4.2,130,558,10,--,21
269,Taal Tech India,3.8,130,1.3k,13,31,17
270,Dmi Housing Finance,4.1,129,552,6,--,11
271,Minda Stoneridge Instruments,3.8,129,916,9,--,6
272,Ford Motor Credit Company,4.2,129,707,6,--,26
273,Smiiel - A Unit Of Motherson Sumi System,3.8,129,454,14,--,18
274,Viztar International,3.3,128,633,4,--,7
275,PerkinElmer,4.1,127,779,6,12,12
276,Gangavaram Port,3.3,127,583,5,--,9
277,Enrich Hair And Skin Solutions,3.9,127,646,5,--,16
278,Merit Software Services,3.9,127,1.1k,1,--,21
279,Macmet Engineering,4.0,127,565,6,--,22
280,Ms Agarwal Foundries,4.1,146,623,10,11,8
281,National Small Industries Corporation,3.9,145,663,9,2,13
282,Winjit Technologies,3.8,145,1.4k,25,7,15
283,Enzene Biosciences,3.9,144,955,19,--,18
284,The Belgian Waffle co,4.3,143,434,8,2,6
285,Bosch Power Tools,4.4,143,788,10,--,18
286,Sagitec Solutions,3.7,142,1.6k,16,6,16
287,Cogent,3.4,139,710,14,--,6
288,Reventics,4.2,138,779,11,8,24
289,Roots Multiclean,3.9,136,1k,13,4,18
290,India Power Corporation,3.8,136,676,11,4,17
291,KDK Software,3.3,136,336,13,11,23
292,Btl Epc,3.2,135,660,10,--,14
293,Analytix Business Solutions,3.6,135,865,17,38,10
294,DS-MAX Properties,4.0,135,808,17,101,18
295,Q3 Technologies,3.8,134,1.5k,14,3,11
296,Atidan Technologies,4.2,133,440,6,--,13
297,In2IT Technologies,3.1,133,1.1k,9,--,15
298,Prgx India,3.5,133,1.2k,13,39,23
299,Goel Ganga Group,3.7,133,593,6,5,27
300,Gapbridge Software Services,3.7,129,407,1,--,32
301,Sadhu Forging,3.7,129,736,8,--,13
302,Sowparnika,3.5,129,739,4,12,12
303,Manpasand Beverages,3.8,128,400,2,--,14
304,Schreiber Dynamix Dairies,4.3,128,569,3,6,21
305,VIS Networks,4.1,126,1.1k,8,1,18
306,Toyota Kirloskar Auto Parts,4.5,126,554,3,--,18
307,FreshMenu,2.8,125,549,6,--,24
308,Fabtech Projects & Engineers,3.8,124,763,7,1,11
309,AYTB,3.3,123,326,5,--,20
310,Rorito International,4.1,123,592,4,5,12
311,Foiwe Info Global Solution,3.7,122,798,9,--,13
312,Maharashtra State Electricity Transmission Company,4.1,122,428,--,--,20
313,DDB Mudra Group,3.4,122,914,5,--,13
314,TVS Upasana Engineering,3.6,122,546,6,--,13
315,AGS Healthcare,4.3,155,1.4k,7,--,1
316,FEV,3.4,152,1.2k,5,3,18
317,Park Plus,3.0,151,966,25,6,6
318,Pure & Cure Healthcare,4.1,150,566,4,--,18
319,MyCaptain,3.2,148,432,33,--,8
320,TechMojo Solutions,4.2,139,804,16,6,14
321,TEOCO Software,3.7,138,893,10,4,25
322,ARB Bearings,3.7,137,711,6,2,7
323,Changepond Technologies,3.3,137,1.7k,19,5,16
